round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
1000,0.0002436490321997553,0.0002436490321997553,0.007093597203493118,0.0002532539947424084,0.0002532539947424084,0.006676186807453632,32,5,relu,50,16,tanh,256,200,20,adam,0.001
1000,0.000202644951059483,0.000202644951059483,0.006271278485655785,0.00022061081836000085,0.00022061081836000085,0.00626920023933053,64,5,relu,50,64,tanh,256,200,20,adam,0.001
1000,0.0002667510125320405,0.0002667510125320405,0.007414043415337801,0.00026310214889235795,0.00026310214889235795,0.007078200578689575,32,7,relu,50,32,tanh,256,200,20,adam,1e-05
1000,0.00021467595070134848,0.00021467595070134848,0.006617097184062004,0.0002121818979503587,0.0002121818979503587,0.00607144134119153,64,3,relu,75,32,relu,256,200,20,adam,1e-05
1000,0.00022122837253846228,0.00022122837253846228,0.006950906943529844,0.00024365243734791875,0.00024365243734791875,0.006657949183136225,32,3,relu,75,32,relu,256,200,20,adam,0.001
1000,0.0002360290236538276,0.0002360290236538276,0.006974139716476202,0.00025676205405034125,0.00025676205405034125,0.007202369626611471,64,5,relu,50,64,relu,256,200,20,adam,0.0001
1000,0.00022303382866084576,0.00022303382866084576,0.007048928178846836,0.00022910060943104327,0.00022910060943104327,0.006505502387881279,64,3,relu,50,16,relu,256,200,20,adam,0.0001
1000,0.00021342845866456628,0.00021342845866456628,0.006538940593600273,0.00021536415442824364,0.00021536415442824364,0.006209865678101778,64,7,relu,75,32,tanh,256,200,20,adam,0.0001
1000,0.0002633805852383375,0.0002633805852383375,0.007346301339566708,0.00027802938711829484,0.00027802938711829484,0.006872880272567272,32,5,relu,50,32,tanh,256,200,20,adam,1e-05
592,0.00032702728640288115,0.00032702728640288115,0.00851683970540762,0.0003496622375678271,0.0003496622375678271,0.008329748176038265,64,3,relu,75,16,tanh,256,200,20,adam,0.0001
1000,0.00022728521435055882,0.00022728521435055882,0.006843219976872206,0.00023587027681060135,0.00023587027681060135,0.006672966293990612,64,3,relu,50,64,relu,256,200,20,adam,1e-05
1000,0.00026230767252855003,0.00026230767252855003,0.00725095858797431,0.00027244622469879687,0.00027244622469879687,0.006951627787202597,32,7,relu,50,64,relu,256,200,20,adam,0.001
1000,0.00021808101155329496,0.00021808101155329496,0.00690024858340621,0.0002153764507966116,0.0002153764507966116,0.00707240030169487,32,3,relu,75,16,tanh,256,200,20,adam,0.001
1000,0.0002020931278821081,0.0002020931278821081,0.006293746177107096,0.00021471902437042445,0.00021471902437042445,0.006149704102426767,32,5,relu,50,32,relu,256,200,20,adam,0.0001
1000,0.00023840536596253514,0.00023840536596253514,0.0069423094391822815,0.00024380561080761254,0.00024380561080761254,0.006716012954711914,32,3,relu,50,16,tanh,256,200,20,adam,1e-05
1000,0.00021579106396529824,0.00021579106396529824,0.00669128680601716,0.00021678980556316674,0.00021678980556316674,0.006462640594691038,64,7,relu,50,32,tanh,256,200,20,adam,1e-05
1000,0.00020459055667743087,0.00020459055667743087,0.006323609035462141,0.00020881241653114557,0.00020881241653114557,0.00597765576094389,64,5,relu,75,64,relu,256,200,20,adam,1e-05
1000,0.00025028237723745406,0.00025028237723745406,0.007301597390323877,0.00026650718064047396,0.00026650718064047396,0.007169745862483978,64,3,relu,50,32,tanh,256,200,20,adam,0.0001
1000,0.0002163862664019689,0.0002163862664019689,0.0065998840145766735,0.00022209773305803537,0.00022209773305803537,0.0062045445665717125,64,5,relu,75,16,relu,256,200,20,adam,1e-05
1000,0.00023589460761286318,0.00023589460761286318,0.0070729935541749,0.000253158068517223,0.000253158068517223,0.00689547136425972,32,7,relu,75,16,tanh,256,200,20,adam,0.0001
1000,0.0002395336632616818,0.0002395336632616818,0.00695444643497467,0.0002474804932717234,0.0002474804932717234,0.006757086142897606,32,3,relu,50,16,tanh,256,200,20,adam,0.0001
1000,0.0002458230301272124,0.0002458230301272124,0.007010286673903465,0.00025336528779007494,0.00025336528779007494,0.006826613564044237,32,7,relu,50,16,tanh,256,200,20,adam,0.0001
1000,0.00022947257093619555,0.00022947257093619555,0.006795880850404501,0.00024024643062148243,0.00024024643062148243,0.006565271411091089,32,7,relu,50,16,relu,256,200,20,adam,0.001
