round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
200,0.0006892262608744204,0.0006892262608744204,0.01130035798996687,0.0006842471775598824,0.0006842471775598824,0.012442942708730698,75,relu,16,tanh,256,200,20,adam,0.001
200,0.0005817341734655201,0.0005817341734655201,0.010255509987473488,0.0006294309860095382,0.0006294309860095382,0.01120038516819477,100,tanh,16,elu,256,200,20,adam,0.001
200,0.0004969468573108315,0.0004969468573108315,0.009459407068789005,0.00045496964594349265,0.00045496964594349265,0.010159537196159363,75,tanh,32,relu,256,200,20,adam,0.0001
200,0.0005697410088032484,0.0005697410088032484,0.009876962751150131,0.0004270126228220761,0.0004270126228220761,0.010415310971438885,100,tanh,64,tanh,256,200,20,adam,0.001
200,0.0005870997556485236,0.0005870997556485236,0.010268746875226498,0.0005633814143948257,0.0005633814143948257,0.011166227981448174,50,tanh,64,relu,256,200,20,adam,0.001
200,0.0005674893618561327,0.0005674893618561327,0.010036971420049667,0.000481075985589996,0.000481075985589996,0.010875674895942211,75,relu,64,tanh,256,200,20,adam,0.0001
200,0.0005930705228820443,0.0005930705228820443,0.010491977445781231,0.0005434665945358574,0.0005434665945358574,0.011336184106767178,100,tanh,64,tanh,256,200,20,adam,0.0001
200,0.0006365901208482683,0.0006365901208482683,0.010765736922621727,0.0005544672021642327,0.0005544672021642327,0.011649082414805889,100,relu,16,tanh,256,200,20,adam,0.0001
200,0.00054826436098665,0.00054826436098665,0.009883414022624493,0.0004219028342049569,0.0004219028342049569,0.010625132359564304,50,tanh,16,relu,256,200,20,adam,0.001
200,0.0005617517163045704,0.0005617517163045704,0.00996079295873642,0.00041599810356274247,0.00041599810356274247,0.010527865029871464,100,relu,16,elu,256,200,20,adam,0.0001
200,0.0005914201610721648,0.0005914201610721648,0.011183792725205421,0.0005751700955443084,0.0005751700955443084,0.012142789550125599,75,relu,64,relu,256,200,20,adam,0.0001
200,0.000513606530148536,0.000513606530148536,0.009548457339406013,0.00044654615339823067,0.00044654615339823067,0.010339354164898396,50,relu,32,tanh,256,200,20,adam,0.001
200,0.0006220819777809083,0.0006220819777809083,0.010639318265020847,0.0005721952184103429,0.0005721952184103429,0.01158091239631176,100,tanh,64,tanh,256,200,20,adam,1e-05
200,0.0005545674939639866,0.0005545674939639866,0.010035880841314793,0.0004784792836289853,0.0004784792836289853,0.010690242052078247,75,tanh,64,elu,256,200,20,adam,0.0001
