round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,optimizer,lr
5,0.03392554447054863,0.03392554447054863,0.1344379335641861,0.024335434660315514,0.024335434660315514,0.11641755700111389,16,7,relu,1,0.1,64,relu,256,5,adam,1e-05
5,0.027891868725419044,0.027891868725419044,0.1166984960436821,0.020189717411994934,0.020189717411994934,0.10024137794971466,16,7,relu,4,0.0,32,relu,256,5,adam,0.001
5,0.013096924871206284,0.013096924871206284,0.07193776965141296,0.0070454636588692665,0.0070454636588692665,0.05135232210159302,16,7,relu,4,0.0,32,relu,256,5,adam,0.0001
5,0.0395842120051384,0.0395842120051384,0.14697784185409546,0.030186012387275696,0.030186012387275696,0.13031192123889923,16,7,relu,4,0.0,32,relu,256,5,adam,1e-05
5,0.04495903477072716,0.04495903477072716,0.1580054759979248,0.03397807478904724,0.03397807478904724,0.1397055983543396,16,7,relu,4,0.0,64,relu,256,5,adam,0.001
5,0.047024406492710114,0.047024406492710114,0.16212697327136993,0.038574520498514175,0.038574520498514175,0.14993414282798767,16,7,relu,4,0.0,64,relu,256,5,adam,0.0001
5,0.04944361746311188,0.04944361746311188,0.1671375185251236,0.040716562420129776,0.040716562420129776,0.15499086678028107,16,7,relu,4,0.0,64,relu,256,5,adam,1e-05
5,0.044170573353767395,0.044170573353767395,0.15690608322620392,0.03475577011704445,0.03475577011704445,0.1422785371541977,16,7,relu,4,0.05,32,relu,256,5,adam,0.001
5,0.019798830151557922,0.019798830151557922,0.09263250976800919,0.010678566992282867,0.010678566992282867,0.0684664398431778,16,7,relu,4,0.05,32,relu,256,5,adam,0.0001
5,0.038074251264333725,0.038074251264333725,0.14389380812644958,0.027954207733273506,0.027954207733273506,0.12620501220226288,16,7,relu,4,0.05,32,relu,256,5,adam,1e-05
5,0.024734489619731903,0.024734489619731903,0.10618800669908524,0.015247809700667858,0.015247809700667858,0.08481922000646591,16,7,relu,4,0.05,64,relu,256,5,adam,0.001
