round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
5,0.03555990755558014,0.03555990755558014,0.13977637887001038,0.0471935048699379,0.0471935048699379,0.15069296956062317,75,relu,0.1,50,32,relu,50,relu,0.0,32,200,20,256,adam,1e-05
5,0.037190280854701996,0.037190280854701996,0.14519846439361572,0.05003795027732849,0.05003795027732849,0.15773241221904755,50,relu,0.05,50,64,relu,50,relu,0.05,64,200,20,256,adam,0.0001
5,0.04854453727602959,0.04854453727602959,0.1667688637971878,0.06533452123403549,0.06533452123403549,0.1825239211320877,75,relu,0.05,75,64,relu,75,relu,0.05,32,200,20,256,adam,0.001
5,0.036187607795000076,0.036187607795000076,0.14267028868198395,0.04831613600254059,0.04831613600254059,0.1547047644853592,75,relu,0.05,75,32,relu,50,relu,0.0,32,200,20,256,adam,0.0001
5,0.03593100979924202,0.03593100979924202,0.14293022453784943,0.04857220873236656,0.04857220873236656,0.15552116930484772,75,relu,0.05,50,32,relu,75,relu,0.0,32,200,20,256,adam,0.001
5,0.0324467234313488,0.0324467234313488,0.1350693255662918,0.043520696461200714,0.043520696461200714,0.14644375443458557,75,relu,0.05,75,64,relu,75,relu,0.1,32,200,20,256,adam,0.0001
5,0.04342607408761978,0.04342607408761978,0.15822243690490723,0.058578766882419586,0.058578766882419586,0.17271897196769714,50,relu,0.1,50,32,relu,75,relu,0.05,32,200,20,256,adam,0.0001
5,0.05039864033460617,0.05039864033460617,0.16939479112625122,0.06787553429603577,0.06787553429603577,0.18462631106376648,75,relu,0.05,50,32,relu,50,relu,0.1,64,200,20,256,adam,0.001
5,0.03042781911790371,0.03042781911790371,0.13090814650058746,0.04088339954614639,0.04088339954614639,0.14202570915222168,50,relu,0.1,75,64,relu,50,relu,0.1,64,200,20,256,adam,1e-05
5,0.03797854855656624,0.03797854855656624,0.1465599238872528,0.050805918872356415,0.050805918872356415,0.15906409919261932,75,relu,0.1,50,32,relu,50,relu,0.1,32,200,20,256,adam,0.001
5,0.0474376305937767,0.0474376305937767,0.1651020348072052,0.06396597623825073,0.06396597623825073,0.18006771802902222,75,relu,0.05,50,32,relu,75,relu,0.1,32,200,20,256,adam,0.0001
5,0.04681798815727234,0.04681798815727234,0.16448572278022766,0.06298600882291794,0.06298600882291794,0.17985177040100098,50,relu,0.05,50,64,relu,50,relu,0.1,64,200,20,256,adam,0.001
5,0.023479821160435677,0.023479821160435677,0.11365850269794464,0.03138856217265129,0.03138856217265129,0.12216323614120483,75,relu,0.05,50,32,relu,50,relu,0.1,32,200,20,256,adam,0.0001
5,0.04313754662871361,0.04313754662871361,0.15645359456539154,0.05784798786044121,0.05784798786044121,0.16991765797138214,75,relu,0.1,50,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
5,0.04180531948804855,0.04180531948804855,0.1545390486717224,0.055712781846523285,0.055712781846523285,0.16750571131706238,50,relu,0.1,50,64,relu,75,relu,0.1,32,200,20,256,adam,0.0001
5,0.026076918467879295,0.026076918467879295,0.12114648520946503,0.03485385701060295,0.03485385701060295,0.13077843189239502,75,relu,0.05,75,32,relu,75,relu,0.1,64,200,20,256,adam,0.0001
5,0.04766540974378586,0.04766540974378586,0.16540122032165527,0.06423681974411011,0.06423681974411011,0.18065693974494934,50,relu,0.05,50,64,relu,75,relu,0.1,64,200,20,256,adam,1e-05
5,0.05545773729681969,0.05545773729681969,0.17731381952762604,0.0750204473733902,0.0750204473733902,0.1937481164932251,75,relu,0.05,75,32,relu,50,relu,0.1,64,200,20,256,adam,1e-05
5,0.034982580691576004,0.034982580691576004,0.1412651240825653,0.04724589362740517,0.04724589362740517,0.1538749784231186,75,relu,0.05,50,64,relu,50,relu,0.1,32,200,20,256,adam,0.0001
5,0.038558509200811386,0.038558509200811386,0.14816510677337646,0.051625579595565796,0.051625579595565796,0.16080385446548462,75,relu,0.05,75,64,relu,75,relu,0.0,64,200,20,256,adam,0.0001
5,0.03818923234939575,0.03818923234939575,0.14757803082466125,0.051559485495090485,0.051559485495090485,0.16094759106636047,50,relu,0.1,50,64,relu,50,relu,0.05,64,200,20,256,adam,1e-05
5,0.04668404161930084,0.04668404161930084,0.16298364102840424,0.0626833364367485,0.0626833364367485,0.17754164338111877,50,relu,0.05,50,32,relu,50,relu,0.1,64,200,20,256,adam,0.0001
5,0.03482440114021301,0.03482440114021301,0.13939277827739716,0.04708549752831459,0.04708549752831459,0.15114891529083252,75,relu,0.05,75,32,relu,50,relu,0.05,32,200,20,256,adam,0.0001
5,0.05366571620106697,0.05366571620106697,0.17431551218032837,0.07204457372426987,0.07204457372426987,0.18981483578681946,75,relu,0.1,50,32,relu,75,relu,0.05,32,200,20,256,adam,1e-05
5,0.030407143756747246,0.030407143756747246,0.1294504851102829,0.04107791185379028,0.04107791185379028,0.13990187644958496,75,relu,0.05,50,64,relu,50,relu,0.05,32,200,20,256,adam,1e-05
5,0.06814935803413391,0.06814935803413391,0.19721177220344543,0.09195444732904434,0.09195444732904434,0.215990349650383,50,relu,0.05,75,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
5,0.037593867629766464,0.037593867629766464,0.14546062052249908,0.050175704061985016,0.050175704061985016,0.15776126086711884,50,relu,0.05,75,64,relu,50,relu,0.1,32,200,20,256,adam,0.001
