,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
159,0.029150724411010742,0.04576546013663674,0.003011655807495117,0.004178715468535747,0.1,9,0.001,sigmoid,"{'C': 0.1, 'degree': 9, 'gamma': 0.001, 'kernel': 'sigmoid'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.18957009322915763,-0.037976044654027964,-0.10219733911690879,-0.09056993152828612,-0.04394637576407707,0.060860832312083994,473
160,0.0012494564056396485,0.00107619879757455,0.000322723388671875,6.598452884905416e-05,0.1,10,auto,linear,"{'C': 0.1, 'degree': 10, 'gamma': 'auto', 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
161,0.040542435646057126,0.06160412694150688,0.0019710540771484377,0.002588772193511175,0.1,10,auto,poly,"{'C': 0.1, 'degree': 10, 'gamma': 'auto', 'kernel': 'poly'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.19021556156258387,-0.03957802278536122,-0.10596937663133021,-0.0968072375172042,-0.04517205476088697,0.06186390235459338,507
162,0.00114288330078125,0.0008774587749093139,0.0003524303436279297,0.00010319139505198405,0.1,10,auto,rbf,"{'C': 0.1, 'degree': 10, 'gamma': 'auto', 'kernel': 'rbf'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.08088333600438999,-0.0013737142644141686,-0.0012478783107637524,-0.0009751049477808003,-0.010363038263973891,0.024082406928068133,332
163,0.002639365196228027,0.003045781738424147,0.00038330554962158204,0.0001393519393711517,0.1,10,auto,sigmoid,"{'C': 0.1, 'degree': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07168517876388653,-0.004159601143789992,-0.0025980355856840345,-0.0019725210216642967,-0.009956568562741503,0.02121889459845869,314
164,0.0012457132339477538,0.0010784020780394336,0.00032367706298828123,6.803483765105055e-05,0.1,10,0.1,linear,"{'C': 0.1, 'degree': 10, 'gamma': 0.1, 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
165,0.038438844680786136,0.062020803113926826,0.0019693851470947267,0.002589893873526998,0.1,10,0.1,poly,"{'C': 0.1, 'degree': 10, 'gamma': 0.1, 'kernel': 'poly'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.19021608156147035,-0.03958687399425793,-0.10703104036143544,-0.09709186751994948,-0.04530762125495034,0.06199273092053544,546
166,0.004520606994628906,0.0054800557081954885,0.0006654262542724609,0.0005061425408545922,0.1,10,0.1,rbf,"{'C': 0.1, 'degree': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.13251834675361202,-0.000692297374785946,-0.0033011800316494018,-0.0013657581208671623,-0.01570279313933047,0.03928818798840851,364
167,0.007158994674682617,0.00925286503051152,0.0009138584136962891,0.0008418971764395349,0.1,10,0.1,sigmoid,"{'C': 0.1, 'degree': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.14810863142639918,-0.0013076864907399324,-0.007719572658321482,-0.0030701390587285758,-0.017935637874657937,0.04372306363259208,382
168,0.0012575149536132812,0.001104723909048752,0.00032315254211425783,6.71562292431109e-05,0.1,10,1,linear,"{'C': 0.1, 'degree': 10, 'gamma': 1, 'kernel': 'linear'}",-9.140952359875622e-05,-0.0002983117043615989,-0.00043346425392192217,-0.00012098850655108755,-0.00013070187852324723,-0.018075473245433574,-0.07060299052730143,-0.0018121229211798939,-0.001438647129104162,-0.000529032626067166,-0.009353314231604284,0.021077500947430734,233
