,pdq,pdqs,aic,rmse
33,"(1, 0, 0)","(2, 0, 0, 12)",-7951.822948439132,0.015623422900080602
34,"(1, 0, 0)","(2, 0, 1, 12)",-7952.499318511171,0.015607041027492828
35,"(1, 0, 0)","(2, 0, 2, 12)",-7951.062434402891,0.01562009153435616
36,"(1, 0, 1)","(0, 0, 0, 12)",-8082.374977560417,0.015643226961826743
37,"(1, 0, 1)","(0, 0, 1, 12)",-8009.426752678496,0.01571293091425446
38,"(1, 0, 1)","(0, 0, 2, 12)",-7945.715433765473,0.015605062092816988
39,"(1, 0, 1)","(1, 0, 0, 12)",-8015.216066403956,0.015709060118808352
40,"(1, 0, 1)","(1, 0, 1, 12)",-8010.484957614193,0.015725096184483228
41,"(1, 0, 1)","(1, 0, 2, 12)",-7945.67434701391,0.015601222186992668
42,"(1, 0, 1)","(2, 0, 0, 12)",-7950.77672775903,0.015582807922419655
43,"(1, 0, 1)","(2, 0, 1, 12)",-7951.279185708135,0.015578156814914588
44,"(1, 0, 1)","(2, 0, 2, 12)",-7943.695796397131,0.015582698665489319
45,"(1, 0, 2)","(0, 0, 0, 12)",-8097.6972001023105,0.015420253874092656
46,"(1, 0, 2)","(0, 0, 1, 12)",-8025.260426473093,0.015453706588274803
47,"(1, 0, 2)","(0, 0, 2, 12)",-7961.5953000547315,0.015345512570563418
48,"(1, 0, 2)","(1, 0, 0, 12)",-8037.106488181271,0.015453996803044172
49,"(1, 0, 2)","(1, 0, 1, 12)",-8026.988977453559,0.015487467714324996
50,"(1, 0, 2)","(1, 0, 2, 12)",-7961.8526223075705,0.015338790241000077
51,"(1, 0, 2)","(2, 0, 0, 12)",-7972.407416291306,0.015335555019933469
52,"(1, 0, 2)","(2, 0, 1, 12)",-7973.402518440727,0.015356885983271498
53,"(1, 0, 2)","(2, 0, 2, 12)",-7959.765192823048,0.015352019945725623
54,"(2, 0, 0)","(0, 0, 0, 12)",-8082.298915963758,0.01565753659241447
55,"(2, 0, 0)","(0, 0, 1, 12)",-8015.391015618296,0.01571196102520197
56,"(2, 0, 0)","(0, 0, 2, 12)",-7951.61111342352,0.015599332461928187
57,"(2, 0, 0)","(1, 0, 0, 12)",-8009.190891785172,0.015700183727680433
58,"(2, 0, 0)","(1, 0, 1, 12)",-8010.508852794291,0.015733615933817155
59,"(2, 0, 0)","(1, 0, 2, 12)",-7951.492487561213,0.015593256248174939
60,"(2, 0, 0)","(2, 0, 0, 12)",-7944.542131406328,0.015591960151115455
61,"(2, 0, 0)","(2, 0, 1, 12)",-7945.126592966938,0.015613038568347375
62,"(2, 0, 0)","(2, 0, 2, 12)",-7943.548411249351,0.015596938788848805
63,"(2, 0, 1)","(0, 0, 0, 12)",-8081.265733252866,0.015617145436908456
64,"(2, 0, 1)","(0, 0, 1, 12)",-8008.261058090516,0.017886349661180967
65,"(2, 0, 1)","(0, 0, 2, 12)",-2712.2149236732394,0.03796926744011881
66,"(2, 0, 1)","(1, 0, 0, 12)",-8007.645155859387,0.01758486983852402
67,"(2, 0, 1)","(1, 0, 1, 12)",-8006.018338183724,0.04328071984868731
68,"(2, 0, 1)","(1, 0, 2, 12)",-7532.070619961653,0.04412682457175375
69,"(2, 0, 1)","(2, 0, 0, 12)",-7614.803829005117,0.07929803241080509
70,"(2, 0, 1)","(2, 0, 1, 12)",-7942.974618565486,0.036754218201353744
71,"(2, 0, 1)","(2, 0, 2, 12)",-6749.298178125304,0.026374876563316087
72,"(2, 0, 2)","(0, 0, 0, 12)",-8106.542804768809,0.015350939029181623
73,"(2, 0, 2)","(0, 0, 1, 12)",-8031.456993689223,0.015443317914481959
74,"(2, 0, 2)","(0, 0, 2, 12)",-7967.590154938503,0.015511491719254485
