,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_hidden_size,params_input_chunk_length,params_learning_rate,params_lstm_layers,params_num_attentions_heads,params_optimizer,params_output_chunk_length,state
43,43,0.00954904593527317,2022-07-14 20:22:57.403562,2022-07-14 20:28:13.466429,0 days 00:05:16.062867,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
44,44,0.009549031965434551,2022-07-14 20:28:13.467219,2022-07-14 20:33:29.814311,0 days 00:05:16.347092,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
45,45,0.050984811037778854,2022-07-14 20:33:29.815083,2022-07-14 20:44:18.886699,0 days 00:10:49.071616,256,0.05,1000,128,30,1e-05,5,3,adam,1,COMPLETE
46,46,0.07862355560064316,2022-07-14 20:44:18.887467,2022-07-14 20:46:39.272772,0 days 00:02:20.385305,256,0.0,1000,128,30,1e-05,5,7,adam,1,COMPLETE
47,47,0.19375865161418915,2022-07-14 20:46:39.273531,2022-07-14 20:54:08.086565,0 days 00:07:28.813034,256,0.1,1000,64,30,1e-05,4,3,adam,1,COMPLETE
48,48,0.026177704334259033,2022-07-14 20:54:08.087322,2022-07-14 20:59:20.972462,0 days 00:05:12.885140,256,0.0,1000,128,30,1e-05,3,3,adam,1,COMPLETE
49,49,0.045799389481544495,2022-07-14 20:59:20.973230,2022-07-14 21:01:22.870116,0 days 00:02:01.896886,256,0.0,1000,32,30,1e-05,5,3,adam,1,COMPLETE
50,50,0.034827280789613724,2022-07-14 21:01:22.870883,2022-07-14 21:07:49.686275,0 days 00:06:26.815392,256,0.05,1000,128,30,1e-05,5,5,adam,1,COMPLETE
51,51,0.009549080394208431,2022-07-14 21:07:49.687035,2022-07-14 21:13:05.840913,0 days 00:05:16.153878,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
52,52,0.009549044072628021,2022-07-14 21:13:05.841672,2022-07-14 21:18:22.142785,0 days 00:05:16.301113,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
53,53,0.009549129754304886,2022-07-14 21:18:22.143598,2022-07-14 21:23:38.767873,0 days 00:05:16.624275,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
