round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
269,0.0006724050035700202,0.0006724050035700202,0.013379525393247604,0.0004944333340972662,0.0004944333340972662,0.010238547809422016,16,16,relu,4,0.05,64,relu,256,200,20,adam,0.0001
594,0.0005196824204176664,0.0005196824204176664,0.01244736835360527,0.0004214133368805051,0.0004214133368805051,0.00951000489294529,32,16,relu,4,0.1,64,relu,256,200,20,adam,0.0001
375,0.0005934199434705079,0.0005934199434705079,0.013600225560367107,0.00047497995547018945,0.00047497995547018945,0.01020974013954401,16,4,relu,1,0.1,32,relu,256,200,20,adam,0.0001
309,0.0007600541575811803,0.0007600541575811803,0.014607169665396214,0.000666115724015981,0.000666115724015981,0.01215511653572321,16,8,relu,4,0.1,64,relu,256,200,20,adam,0.001
389,0.0006405015010386705,0.0006405015010386705,0.013431999832391739,0.000531662255525589,0.000531662255525589,0.010761154815554619,16,16,relu,4,0.05,32,relu,256,200,20,adam,0.001
575,0.0005321513745002449,0.0005321513745002449,0.012420592829585075,0.00046373464283533394,0.00046373464283533394,0.010000249370932579,32,8,relu,1,0.05,32,relu,256,200,20,adam,1e-05
525,0.0005163080641068518,0.0005163080641068518,0.012203436344861984,0.0004728822677861899,0.0004728822677861899,0.010209154337644577,16,8,relu,4,0.05,64,relu,256,200,20,adam,0.0001
543,0.00044293212704360485,0.00044293212704360485,0.011354806832969189,0.0004126437706872821,0.0004126437706872821,0.009339425712823868,16,16,relu,4,0.0,64,relu,256,200,20,adam,0.0001
649,0.00047380311298184097,0.00047380311298184097,0.01185019314289093,0.0004602842091117054,0.0004602842091117054,0.009768606163561344,16,8,relu,8,0.1,32,relu,256,200,20,adam,0.0001
433,0.000515671621542424,0.000515671621542424,0.012453919276595116,0.0005424672272056341,0.0005424672272056341,0.011836485005915165,16,16,relu,8,0.1,64,relu,256,200,20,adam,1e-05
693,0.0004938429337926209,0.0004938429337926209,0.011202657595276833,0.0004502428346313536,0.0004502428346313536,0.009751304984092712,32,8,relu,4,0.1,32,relu,256,200,20,adam,1e-05
327,0.0005701470072381198,0.0005701470072381198,0.01316821575164795,0.000556605460587889,0.000556605460587889,0.010637354105710983,16,4,relu,4,0.05,32,relu,256,200,20,adam,1e-05
515,0.0005432784091681242,0.0005432784091681242,0.01272492203861475,0.0004883598303422332,0.0004883598303422332,0.010931046679615974,32,4,relu,1,0.05,64,relu,256,200,20,adam,0.001
622,0.0005356977344490588,0.0005356977344490588,0.012325003743171692,0.00044129646266810596,0.00044129646266810596,0.009744605049490929,32,8,relu,1,0.1,32,relu,256,200,20,adam,1e-05
648,0.0005174520774744451,0.0005174520774744451,0.011988775804638863,0.00039234518771991134,0.00039234518771991134,0.009100456722080708,16,8,relu,4,0.1,32,relu,256,200,20,adam,1e-05
