round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
5,0.0526139959692955,0.0526139959692955,0.1720036417245865,0.046187207102775574,0.046187207102775574,0.1607992798089981,32,3,tanh,75,64,tanh,256,5,50,adam,1e-05
5,0.04589923471212387,0.04589923471212387,0.1607242077589035,0.04005589336156845,0.04005589336156845,0.14995715022087097,32,5,tanh,50,16,relu,256,5,50,adam,0.001
5,0.02240493893623352,0.02240493893623352,0.10719086229801178,0.018249591812491417,0.018249591812491417,0.09519729763269424,32,5,tanh,50,16,relu,256,5,50,adam,0.0001
5,0.04542291536927223,0.04542291536927223,0.16028623282909393,0.039618391543626785,0.039618391543626785,0.14949876070022583,32,5,tanh,50,16,relu,256,5,50,adam,1e-05
5,0.051054276525974274,0.051054276525974274,0.16768287122249603,0.043946389108896255,0.043946389108896255,0.15469202399253845,32,5,tanh,50,16,tanh,256,5,50,adam,0.001
5,0.02742062509059906,0.02742062509059906,0.12262256443500519,0.022896764799952507,0.022896764799952507,0.11161215603351593,32,5,tanh,50,16,tanh,256,5,50,adam,0.0001
5,0.04327313229441643,0.04327313229441643,0.1556917428970337,0.0379900187253952,0.0379900187253952,0.14609961211681366,32,5,tanh,50,16,tanh,256,5,50,adam,1e-05
5,0.031015319749712944,0.031015319749712944,0.13028770685195923,0.02603612095117569,0.02603612095117569,0.1188124269247055,32,5,tanh,50,32,relu,256,5,50,adam,0.001
5,0.0669616162776947,0.0669616162776947,0.19470620155334473,0.05874379351735115,0.05874379351735115,0.1818770468235016,32,5,tanh,50,32,relu,256,5,50,adam,0.0001
5,0.06028749793767929,0.06028749793767929,0.18524892628192902,0.05279584228992462,0.05279584228992462,0.17291799187660217,32,5,tanh,50,32,relu,256,5,50,adam,1e-05
5,0.02397974394261837,0.02397974394261837,0.11008090525865555,0.019841331988573074,0.019841331988573074,0.09876246750354767,32,5,tanh,50,32,tanh,256,5,50,adam,0.001
5,0.030111627653241158,0.030111627653241158,0.12700389325618744,0.02519376017153263,0.02519376017153263,0.11529486626386642,32,5,tanh,50,32,tanh,256,5,50,adam,0.0001
5,0.04700706526637077,0.04700706526637077,0.16309773921966553,0.04100130498409271,0.04100130498409271,0.15213024616241455,32,5,tanh,50,32,tanh,256,5,50,adam,1e-05
5,0.04639781266450882,0.04639781266450882,0.1609351634979248,0.039241161197423935,0.039241161197423935,0.14718478918075562,32,5,tanh,50,64,relu,256,5,50,adam,0.001
