,avgcpu,std,labels
301,[0.10211819],[0.7567002],[1.33908387]
302,[0.10316829],[0.76020455],[1.43657113]
303,[0.09799118],[0.76586175],[1.17889811]
304,[0.09235105],[0.7693592],[1.10519095]
305,[0.09496129],[0.7718545],[0.94577028]
306,[0.08634636],[0.77878237],[1.03163458]
307,[0.08990489],[0.7777274],[1.13572677]
308,[0.08878313],[0.77394396],[1.38408241]
309,[0.09682277],[0.76234037],[1.28420533]
310,[0.10001467],[0.75189686],[1.39243232]
311,[0.10679841],[0.74529177],[1.41561993]
312,[0.10306448],[0.7447259],[1.52171412]
313,[0.11012416],[0.73992676],[1.57978739]
314,[0.11247356],[0.73696893],[1.58539967]
315,[0.1152894],[0.734975],[1.44599736]
316,[0.11347836],[0.73818624],[1.34691719]
317,[0.10993861],[0.74547905],[1.14768598]
318,[0.10291713],[0.7553242],[1.27342903]
319,[0.10360537],[0.75966316],[1.03204637]
320,[0.09694773],[0.7636353],[1.20752226]
321,[0.10293615],[0.76192117],[1.10477074]
322,[0.09418027],[0.7634028],[1.18180569]
323,[0.10173561],[0.7579276],[0.97979143]
324,[0.09469433],[0.7601909],[1.13963728]
325,[0.09910049],[0.75859493],[1.27839759]
326,[0.09845039],[0.7547648],[1.37093892]
327,[0.10772306],[0.7448423],[1.42345344]
328,[0.11234429],[0.7375857],[1.39676485]
329,[0.11252809],[0.7355751],[1.32748408]
330,[0.11170372],[0.73764443],[1.38572353]
331,[0.11108133],[0.7406873],[1.21099442]
332,[0.10745092],[0.7448591],[1.13959589]
333,[0.10759448],[0.74950594],[0.9358947]
334,[0.09930278],[0.7581572],[0.77001245]
335,[0.09871235],[0.76364255],[0.74407734]
336,[0.09624889],[0.7680798],[0.59664628]
337,[0.09370159],[0.7699303],[0.38720708]
338,[0.09034471],[0.77193713],[0.40731201]
339,[0.08778116],[0.77292955],[0.67244161]
340,[0.08973263],[0.7673015],[0.44716315]
341,[0.08919939],[0.7595107],[0.54759833]
342,[0.094109],[0.7518037],[0.63200246]
343,[0.09031332],[0.7485436],[0.63595245]
344,[0.09723121],[0.7409727],[0.42286424]
345,[0.09428035],[0.73985916],[0.72410906]
