round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
509,0.00022898262250237167,0.00022898262250237167,0.008678968995809555,0.0002478667302057147,0.0002478667302057147,0.00811108946800232,75,relu,0.05,75,32,relu,75,relu,0.05,64,200,20,256,adam,0.001
429,0.000257207197137177,0.000257207197137177,0.008367878384888172,0.0002423441910650581,0.0002423441910650581,0.0076742591336369514,75,relu,0.1,50,64,relu,75,relu,0.05,32,200,20,256,adam,0.001
592,0.00023630964278709143,0.00023630964278709143,0.008311993442475796,0.0002522012509871274,0.0002522012509871274,0.007673244923353195,75,relu,0.1,50,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
496,0.0002607598726172,0.0002607598726172,0.008348080329596996,0.00024613059940747917,0.00024613059940747917,0.0069780233316123486,75,relu,0.05,50,64,relu,50,relu,0.1,32,200,20,256,adam,0.0001
694,0.00022663289564661682,0.00022663289564661682,0.007786781061440706,0.00023974954092409462,0.00023974954092409462,0.006976215168833733,75,relu,0.1,75,64,relu,75,relu,0.1,64,200,20,256,adam,1e-05
676,0.00024275251780636609,0.00024275251780636609,0.008350959978997707,0.00023408541164826602,0.00023408541164826602,0.007299640215933323,75,relu,0.05,75,64,relu,75,relu,0.0,32,200,20,256,adam,0.001
578,0.00026875059120357037,0.00026875059120357037,0.008654465898871422,0.0002473078202456236,0.0002473078202456236,0.007370797451585531,50,relu,0.05,75,64,relu,50,relu,0.05,32,200,20,256,adam,0.0001
661,0.00024540137383155525,0.00024540137383155525,0.008204817771911621,0.00024373615451622754,0.00024373615451622754,0.0073647694662213326,50,relu,0.1,50,32,relu,50,relu,0.05,64,200,20,256,adam,0.0001
504,0.0002446552971377969,0.0002446552971377969,0.008184497244656086,0.00023843118106015027,0.00023843118106015027,0.007202909793704748,75,relu,0.1,50,64,relu,50,relu,0.1,32,200,20,256,adam,0.0001
426,0.00025114245363511145,0.00025114245363511145,0.008728687651455402,0.0002550792705733329,0.0002550792705733329,0.007419096305966377,75,relu,0.05,50,64,relu,50,relu,0.0,32,200,20,256,adam,1e-05
663,0.0002346839610254392,0.0002346839610254392,0.008106067776679993,0.0002290894917678088,0.0002290894917678088,0.007047093939036131,75,relu,0.05,50,32,relu,50,relu,0.05,32,200,20,256,adam,0.0001
590,0.00023779254115652293,0.00023779254115652293,0.008299710229039192,0.0002511981001589447,0.0002511981001589447,0.007529590744525194,75,relu,0.1,50,64,relu,50,relu,0.1,32,200,20,256,adam,1e-05
565,0.00024953793035820127,0.00024953793035820127,0.008437123149633408,0.00024650470004417,0.00024650470004417,0.007671247236430645,75,relu,0.1,50,64,relu,75,relu,0.0,64,200,20,256,adam,1e-05
510,0.0002645996573846787,0.0002645996573846787,0.008861342445015907,0.00025637279031798244,0.00025637279031798244,0.007348847109824419,75,relu,0.1,75,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
507,0.00024780785315670073,0.00024780785315670073,0.008437087759375572,0.00023849541321396828,0.00023849541321396828,0.007256973534822464,75,relu,0.05,50,32,relu,75,relu,0.1,64,200,20,256,adam,0.0001
555,0.00026706827338784933,0.00026706827338784933,0.008791329339146614,0.00026821164647117257,0.00026821164647117257,0.0077126300893723965,75,relu,0.05,50,32,relu,75,relu,0.0,32,200,20,256,adam,0.001
674,0.0002412065223325044,0.0002412065223325044,0.008557742461562157,0.00026535725919529796,0.00026535725919529796,0.009675838053226471,50,relu,0.05,75,64,relu,75,relu,0.05,32,200,20,256,adam,0.001
564,0.00022592811728827655,0.00022592811728827655,0.007989037781953812,0.00022754489327780902,0.00022754489327780902,0.007319861091673374,75,relu,0.1,50,32,relu,75,relu,0.0,32,200,20,256,adam,1e-05
609,0.00023422586673405021,0.00023422586673405021,0.008297334425151348,0.00023911631433293223,0.00023911631433293223,0.006718631833791733,75,relu,0.05,75,64,relu,75,relu,0.05,32,200,20,256,adam,0.0001
865,0.00021566374925896525,0.00021566374925896525,0.00810394249856472,0.00022531888680532575,0.00022531888680532575,0.007682119496166706,75,relu,0.05,50,32,relu,50,relu,0.0,64,200,20,256,adam,0.001
469,0.00024791937903501093,0.00024791937903501093,0.008215528912842274,0.0002457021037116647,0.0002457021037116647,0.007489880081266165,75,relu,0.1,50,32,relu,50,relu,0.1,64,200,20,256,adam,0.0001
730,0.00021732972527388483,0.00021732972527388483,0.007914009504020214,0.00024018055410124362,0.00024018055410124362,0.007196113001555204,75,relu,0.1,50,32,relu,50,relu,0.1,32,200,20,256,adam,0.0001
648,0.00022756839462090284,0.00022756839462090284,0.007956333458423615,0.00023411968140862882,0.00023411968140862882,0.007572973612695932,50,relu,0.1,50,64,relu,50,relu,0.0,32,200,20,256,adam,0.0001
665,0.0002175471163354814,0.0002175471163354814,0.007847791537642479,0.0002382489910814911,0.0002382489910814911,0.007254368159919977,75,relu,0.05,50,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
459,0.000262137153185904,0.000262137153185904,0.008439191617071629,0.00023684331972617656,0.00023684331972617656,0.007328293286263943,75,relu,0.05,75,32,relu,50,relu,0.1,64,200,20,256,adam,0.0001
635,0.00022797913698013872,0.00022797913698013872,0.007895536720752716,0.000232560996664688,0.000232560996664688,0.006895613856613636,50,relu,0.1,75,64,relu,75,relu,0.0,32,200,20,256,adam,0.0001
794,0.00021516399283427745,0.00021516399283427745,0.007885823026299477,0.00023361844068858773,0.00023361844068858773,0.0071017444133758545,50,relu,0.05,75,64,relu,75,relu,0.0,32,200,20,256,adam,0.0001
443,0.00024855262017808855,0.00024855262017808855,0.008555758744478226,0.00025390685186721385,0.00025390685186721385,0.007041289936751127,75,relu,0.1,75,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
717,0.00023896149650681764,0.00023896149650681764,0.00805798452347517,0.00023825014068279415,0.00023825014068279415,0.0071401107124984264,75,relu,0.05,75,32,relu,75,relu,0.1,64,200,20,256,adam,1e-05
543,0.00025485383230261505,0.00025485383230261505,0.008768977597355843,0.00024023500736802816,0.00024023500736802816,0.008209805935621262,75,relu,0.05,50,64,relu,75,relu,0.05,32,200,20,256,adam,0.0001
794,0.00021788393496535718,0.00021788393496535718,0.0076988753862679005,0.0002378747594775632,0.0002378747594775632,0.0071870326064527035,50,relu,0.1,50,64,relu,50,relu,0.05,32,200,20,256,adam,0.0001
828,0.00020034000044688582,0.00020034000044688582,0.007719480432569981,0.00023686251370236278,0.00023686251370236278,0.007071133237332106,50,relu,0.05,50,64,relu,75,relu,0.05,64,200,20,256,adam,0.0001
818,0.00024483964079990983,0.00024483964079990983,0.00840074848383665,0.00023615040117874742,0.00023615040117874742,0.0072430577129125595,50,relu,0.05,50,64,relu,50,relu,0.0,64,200,20,256,adam,0.001
636,0.00023157223768066615,0.00023157223768066615,0.0077973115257918835,0.00024287201813422143,0.00024287201813422143,0.007779946085065603,50,relu,0.1,75,32,relu,75,relu,0.1,32,200,20,256,adam,1e-05
672,0.00023410338326357305,0.00023410338326357305,0.00808956939727068,0.00023869001597631723,0.00023869001597631723,0.007195244077593088,50,relu,0.1,50,64,relu,50,relu,0.05,32,200,20,256,adam,1e-05
490,0.00025530619313940406,0.00025530619313940406,0.008676494471728802,0.00025725981686264277,0.00025725981686264277,0.009404284879565239,75,relu,0.1,50,64,relu,50,relu,0.1,64,200,20,256,adam,0.001
687,0.00023627307382412255,0.00023627307382412255,0.008027087897062302,0.00023391925788018852,0.00023391925788018852,0.0073715397156775,75,relu,0.1,75,32,relu,50,relu,0.05,64,200,20,256,adam,0.001
597,0.0002231704129371792,0.0002231704129371792,0.008148549124598503,0.00024157114967238158,0.00024157114967238158,0.008277533575892448,50,relu,0.1,75,64,relu,50,relu,0.0,64,200,20,256,adam,0.001
525,0.0002613687829580158,0.0002613687829580158,0.008549126796424389,0.00024902960285544395,0.00024902960285544395,0.008208950981497765,75,relu,0.05,50,64,relu,50,relu,0.0,64,200,20,256,adam,0.0001
